externalKey,projectKey,title,plannedStart,plannedEnd,description,status,estimatedMinutes,workType,weatherRulesJson,weatherCoverage,timecueTaskId
task-alpha-electrical,project-alpha,Electrical rough-in,2026-09-21T08:00:00+02:00,2026-09-22T16:00:00+02:00,Complete the Dobra 56 apartment electrical rough-in before inspection and wall closure,in_progress,1440,electrical,,synthetic_demo_mock,
task-alpha-inspection,project-alpha,Electrical inspection and sign-off,2026-09-23T08:00:00+02:00,2026-09-23T16:00:00+02:00,Inspect the Dobra 56 rough-in and release the walls for closure,planned,480,inspection,,synthetic_demo_mock,
task-alpha-walls,project-alpha,Wall closure,2026-09-23T08:00:00+02:00,2026-09-24T16:00:00+02:00,Close the Dobra 56 walls after the electrical installation is verified,planned,960,carpentry,,synthetic_demo_mock,
task-alpha-finishing,project-alpha,Apartment finishing and paint prep,2026-09-25T08:00:00+02:00,2026-09-26T16:00:00+02:00,Finish Dobra 56 after wall closure and prepare rooms for handover,planned,1440,finishing,,synthetic_demo_mock,
task-beta-demo,project-beta,Workshop strip-out,2026-09-21T08:00:00+02:00,2026-09-21T16:00:00+02:00,Remove failed partitions at Kolejowa 47. Exterior skip access is weather-exposed,planned,480,demolition,,synthetic_demo_mock,
task-beta-electrical,project-beta,Electrical fit-out,2026-09-21T08:00:00+02:00,2026-09-24T16:00:00+02:00,Continue the Kolejowa 47 workshop electrical fit-out without losing its buffer,in_progress,1440,electrical,,synthetic_demo_mock,
task-beta-plumbing,project-beta,Workshop plumbing commissioning,2026-09-21T08:00:00+02:00,2026-09-23T16:00:00+02:00,Commission Kolejowa 47 plumbing before the millwork package,planned,1200,plumbing,,synthetic_demo_mock,
task-beta-carpentry,project-beta,Workshop millwork and doors,2026-09-24T08:00:00+02:00,2026-09-26T16:00:00+02:00,Install millwork and doors at Kolejowa 47 after the plumbing handoff,planned,1440,carpentry,,synthetic_demo_mock,
task-gamma-hvac,project-gamma,Rooftop HVAC installation,2026-09-21T08:00:00+02:00,2026-09-24T16:00:00+02:00,Install rooftop HVAC at Zabkowska 27. Outdoor plant work is weather-exposed,planned,1440,plumbing,,synthetic_demo_mock,
task-gamma-painting,project-gamma,Office finishing and paint,2026-09-24T08:00:00+02:00,2026-09-26T16:00:00+02:00,Finish the Zabkowska 27 loft offices while preserving the client walkthrough,planned,1440,finishing,,synthetic_demo_mock,
task-gamma-inspection,project-gamma,Loft final inspection,2026-09-25T08:00:00+02:00,2026-09-25T16:00:00+02:00,Complete the Zabkowska 27 final inspection after HVAC and finishing,planned,480,inspection,,synthetic_demo_mock,
task-townhouse-electrical,project-townhouse,Check rough electrical layout,2026-09-21T08:00:00+02:00,2026-09-21T16:00:00+02:00,Inspect Pulawska 17 bathroom wiring before waterproofing,planned,360,inspection,,synthetic_demo_mock,
task-townhouse-waterproof,project-townhouse,Waterproof bathroom walls,2026-09-22T08:00:00+02:00,2026-09-24T16:00:00+02:00,Install the Pulawska 17 bathroom waterproofing system after inspection,planned,1440,finishing,,synthetic_demo_mock,
task-townhouse-tiling,project-townhouse,Bathroom tiling,2026-09-24T08:00:00+02:00,2026-09-25T16:00:00+02:00,Set bathroom tile at Pulawska 17 after waterproofing for Friday 16:00 handover,planned,960,layout,,synthetic_demo_mock,
task-clinic-reception,project-clinic,Frame reception opening,2026-09-21T08:00:00+02:00,2026-09-23T16:00:00+02:00,Frame the Banacha 1A reception opening before the next delivery window,planned,1200,carpentry,,synthetic_demo_mock,
task-clinic-electrical,project-clinic,Treatment-room electrical,2026-09-23T08:00:00+02:00,2026-09-24T16:00:00+02:00,Install isolated power and lighting in Banacha 1A treatment rooms,planned,960,electrical,,synthetic_demo_mock,
